domain,name,country_code,industry,employee_count,revenue_eur,aliases,newsroom_url,careers_url,investor_relations_url,rss_url,operational_complexity,linkedin_url,notes
lufthansagroup.com,Lufthansa Group,DE,AEROSPACE_AVIATION,103255,,,https://newsroom.lufthansagroup.com/en/,,http://investor-relations.lufthansagroup.com/en/investor-relations.html,https://newsroom.lufthansagroup.com/feed/en,HIGH,,
swiss.com,SWISS,CH,AEROSPACE_AVIATION,,,,https://newsroom.swiss.com/en/,,,,,,
airfranceklm.com,Air France-KLM,FR,AEROSPACE_AVIATION,,,,,,,,HIGH,,
dhl.com,DHL Group,DE,LOGISTICS_TRANSPORT,,,,,https://careers.dhl.com/global/en/home,https://reporting-hub.group.dhl.com/2025-fy/en/,,HIGH,,
kuehne-nagel.com,Kuehne+Nagel,CH,LOGISTICS_TRANSPORT,85407,,,https://newsroom.kuehne-nagel.com/,https://jobs.kuehne-nagel.com/,https://www.kuehne-nagel.com/company/investor-relations/financial-performance,https://newsroom.kuehne-nagel.com/feed/,HIGH,,
dbschenker.com,DB Schenker,DE,LOGISTICS_TRANSPORT,,,,,,,,HIGH,,
dsv.com,DSV,DK,LOGISTICS_TRANSPORT,,,,https://www.dsv.com/en/about-dsv/press,https://www.dsv.com/en/careers/job-openings,,,HIGH,,
siemens.com,Siemens,DE,MANUFACTURING,,,,https://press.siemens.com/global/en,https://jobs.siemens.com/en_US/externaljobs/SearchJobs,https://www.siemens.com/en-us/company/investor-relations/,,HIGH,,
bosch.com,Bosch,DE,AUTOMOTIVE,413000,,,https://www.bosch-presse.de/pressportal/de/en/news/,https://jobs.bosch.com/en/,https://www.bosch.com/company/annual-report/,,HIGH,,
zf.com,ZF Group,DE,AUTOMOTIVE,153153,,,https://press.zf.com/,https://jobs.zf.com/viewalljobs/,https://www.zf.com/mobile/en/company/investor_relations/financial_reports/financial_reports_cp.html,,HIGH,,
continental.com,Continental,DE,AUTOMOTIVE,92653,,,https://www.continental.com/en/press/press-releases/,https://jobs.continental.com/en/,https://www.continental.com/en/investors/,https://www.continental.com/en/general/rss/press-releases/,HIGH,,
schaeffler.com,Schaeffler,DE,AUTOMOTIVE,110753,,,https://www.schaeffler.com/en/media/press-releases/,https://jobs.schaeffler.com/,https://www.schaeffler.com/en/investor-relations/,,HIGH,,
commerzbank.de,Commerzbank,DE,BANKING,40110,,,https://www.commerzbank.de/group/newsroom/press-releases/,https://jobs.commerzbank.com/,,,HIGH,,
erstegroup.com,Erste Group,AT,BANKING,,,,https://www.erstegroup.com/en/news-media/press-releases,https://www.erstegroup.com/en/career/positions-offered,https://www.erstegroup.com/en/investors,,,,
rbinternational.com,Raiffeisen Bank International,AT,BANKING,,,,https://www.rbinternational.com/en/raiffeisen/media-hub/press-releases.html,https://jobs.rbinternational.com/,https://www.rbinternational.com/en/investors.html,,HIGH,,
ubs.com,UBS,CH,BANKING,105236,,,https://www.ubs.com/global/en/media.html,https://www.ubs.com/global/en/careers/search-jobs.html,https://www.ubs.com/global/en/investor-relations.html,,HIGH,,
allianz.com,Allianz,DE,INSURANCE,156000,,,https://www.allianz.com/en/mediacenter/news/media-releases.html,https://careers.allianz.com/,https://www.allianz.com/en/investor_relations.html,,HIGH,,
munichre.com,Munich Re,DE,INSURANCE,43982,,,https://www.munichre.com/en/company/media-relations.html,https://careers.munichre.com/en/munichre,https://www.munichre.com/en/company/investors.html,,HIGH,,
zurich.com,Zurich Insurance Group,CH,INSURANCE,,,,,https://www.careers.zurich.com/,,,HIGH,,
generali.com,Generali,IT,INSURANCE,88000,,,https://www.generali.com/media/press-releases/all,https://www.generali.com/work-with-us/join-us/job-search,https://www.generali.com/investors,,HIGH,,
